DGM #,Failure Scenarios,Description,Relevant Vulnerabilities ,Impacts,Potential Mitigations,NIST CSF Subcategory
1,Wireless Signals are Jammed to Disrupt Monitoring and Control,"A threat agent uses a wireless signal jammer to disrupt wireless communications channels used to monitor and control distribution systems and substations. Examples are wireless local area network (LAN) communications for intersubstation differential protection, wireless communications between a distribution management system (DMS) and static VAR compensators (SVC), and communications to wireless monitoring equipment",V1A) System relies on communications that are easy to jam in physical radio frequency (RF) communications. Physical radio frequency (RF) communications are subject to deliberate jamming since few radio systems outside of the military have anti-jamming capability. Sustained jamming is less effective than intermittent jamming with the latter potentially causing the system to execute inappropriate or out of order commands,I1A) Reduced situational awareness and impaired ability to react to fluctuations in load and apply controlled remedies such as switching capacitor banks and triggering voltage regulators. This could cause voltage adjustment inefficiencies resulting in voltage sags and swells that can trigger unwanted over and under voltage trips on feeders or in substations,"M1A) Require spread-spectrum radios, with channel-hopping or switch to alternate
communication paths. Examples include:
o Switching from licensed band(s) to unlicensed band(s),
o Switching from unlicensed band(s) to licensed band(s),
o Transition from RF to fiber or copper land-lines,
o Transition from RF to dialup (possibly with degraded performance)","PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,"V1B) System makes messages accessible to unauthorized individuals in wireless radio
signals","I1B) The uncoordinated capacitor banks due to loss of communications could conflict with substation load tap changer (LTC) actions, causing �hunting� or other inefficient actions that increase utility power losses and premature transformer failures",M1B) Require redundancy in communications channels when the wireless channel is no longer available,"PR.DS-4: Adequate capacity to ensure availability is maintained
PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,,I1C) Extreme or long-duration voltage and frequency instability can damage customer or utility equipment,M1C) Require safe mode in feeder devices such as capacitor banks and voltage regulators to have default states that rely on local electrical conditions if communications are lost,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,,"I1D) Disruption in wireless communications between pilot protection relays can
impede differential protection schemes, possibly leading to equipment damage in substations or feeders during fault conditions","M1D) Require redundancy via selected AMI meters or alternative devices that provide
redundant monitoring information that is out-of-band of compromised communications","PR.DS-4: Adequate capacity to ensure availability is maintained
PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
2,Shared Communications Leveraged to Disrupt DMS Communications,"Some utilities depend upon communication providers for long-haul and wide area network (WAN) communications for monitoring and control of their distribution system. Furthermore, utilities that provide their own communication network for critical functions often resell unused bandwidth to offset costs while others have spun off their communication network as a separate communications company. There is also a general trend toward economizing communications costs by sharing them. A threat agent could take advantage of these paradigms by compromising computer systems using the same network as the Distribution Management System (DMS) to facilitate a distributed denial of service attack through the infected computer system by means of a botnet centered on IP spoofing and Internet Control Message Protocol (ICMP) flooding. With the network overburdened, monitoring and control functions could become unavailable for optimization or protection",V2A) Communication channels are shared between different system owners that may reduce availability and reliability of entities or functions that rely on those channels. Attackers have demonstrated flooding attacks against communications paths up to optical carrier (OC) 48. These optical fiber connections carry 2400+ megabits per second and are typically used in regional Internet Service Provider networks,"I2A) Reduced situational awareness and impaired ability to react to fluctuations in
load and apply controlled remedies such as switching capacitor banks and triggering voltage regulators. This could cause voltage adjustment inefficiencies resulting in voltage sags and swells that can trigger unwanted over and under
voltage trips on feeders or in substations",M2A) Verify personnel (service providers) to ensure their services are secure and reliable,"ID.SC-4: Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.


"
,,,V2B) Network services are shared between different system owners that increase the attack surface for the systems sharing the service. This requires a utility to put a certain level of trust in the systems sharing the communications channel and the entity that manages it,"I2B) The uncoordinated capacitor banks due to loss of communications could conflict
with substation load tap changer (LTC) actions, causing �hunting� or other inefficient actions that increase utility power losses and premature transformer failures","M2B) Verify personnel (customers) sharing the network are reputable, security conscious and using network resources appropriately",DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events
,,,,I2C) Extreme or long-duration voltage and frequency instability can damage customer or utility equipment,M2C) Require safe mode in feeder devices such as capacitor banks and voltage regulators to have default states that rely on local electrical conditions if communications are lost,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,,"I2D) Disruption in wireless communications between pilot protection relays can impede differential protection schemes, possibly leading to equipment damage in substations or feeders during fault conditions","M2D) Require redundancy via selected AMI meters or alternative devices that provide
redundant monitoring information that is out-of-band of compromised communications","PR.DS-4: Adequate capacity to ensure availability is maintained
PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
3,Malicious Code Injected into Substation Equipment via Physical Access,"A threat agent injects malicious code into substation equipment through physical access of engineering serial ports or by memory update devices such as USB memory sticks, Secure Digital (SD) cards or Compact Flash (CF) cards. Examples of target equipment include communications concentrators, remote terminal units (RTUs), and protection relays. Malicious code could change device settings for purposes of rendering equipment inoperable, data gathering, denial of service, or misconfiguration",V3A)  Unnecessary access is permitted to system functions via engineering and console ports of substation equipment,I3A) Substation components could be modified to fail detection and clearing of bus and feeder faults (although these can be managed by reclosers which are not necessarily in the substation). These faults could lead to destruction of electrical grid equipment,M3A) Restrict device access (both physical and logical) to protective relays and other critical devices,"PR.AC-2: Physical access to assets is managed and protected
PR.AC-3: Remote access is managed
"
,,,V3B)  System permits unauthorized changes to software and information,"I3B) Substation components could be reprogrammed to disallow feeder sectionalizing or service restoration via SCADA. However, these are frequently done manually","M3B) Check software execution integrity of software in substation equipment, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
