Central Park Food Cart,Central Park Mall Area, northwest side of the Bandshell,M010,2019-06-15,2023-12-31,null,M10-72-1A-C,null,null,Food Cart,
Central Park Food Cart,West 72 Street path, west of Daniel Webster,M010,2015-09-12,2019-12-31,null,M10-72-3-C,null,null,Food Cart,
Central Park Food Cart,East Drive and 72 Street,M010,2018-04-26,2022-12-31,null,M10-72-ED-C,null,null,Food Cart,
Central Park Food Cart,West Drive, between West 74 and West 75 streets,M010,2015-04-30,2019-12-31,null,M10-74-WD-C,null,null,Food Cart,
Central Park Food Cart,East of West Drive, West 81 Street path to Delacorte Theater,M010,2018-04-27,2022-12-31,null,M10-81-WD-C,null,null,Food Cart,
Central Park Food Cart,East 84 Street, pedestrian path, west side of East Drive,M010,2015-07-29,2019-12-31,null,M10-84-ED-C,null,null,Food Cart,
Central Park Food Cart,Northwest corner of Heckscher ballfields,M010,2018-06-11,2022-12-31,null,M10-W65-C,null,null,Food Cart,
Central Park Food Cart,East side of West Drive at West 96 Street,M010,2019-03-13,2023-12-31,null,M10-W67-C,null,null,Food Cart,
Battery Park Food Cart,8 Various Locations,M005,2016-09-01,2020-12-31,null,M5-C,null,null,Food Cart,
Frank O'connor Park Food Cart,Broadway, between 78th Street and 79th Street,Q098,2009-05-08,2013-12-31,null,Q98-C,null,null,Food Cart,
Flushing Meadows Corona Park Food Cart,North corner of Soccer Field #5,Q099,2018-05-24,2021-12-31,null,Q99-(1)-C,null,null,Food Cart,
Flushing Meadows Corona Park Food Cart,Around the outer pathway of the Unisphere,Q099,2015-09-11,2019-12-31,null,Q99-2-C,null,null,Food Cart,
Flushing Meadows Corona Park Food Cart,Flushing Meadows Corona Park, the designated volleyball Area,Q099,2019-03-18,2023-12-31,null,Q99-VB5C,null,null,Food Cart,
Flushing Meadows Corona Park Food Cart,Flushing Meadows Corona Park, in the the designated volleyball area,Q099,2019-03-18,2023-12-31,null,Q99-VBDC,null,null,Food Cart,
